название,жанр
The Legend of Zelda Collector's Edition,экшен приключение фэнтези
Red Dead Redemption,экшен шутер от третьего лица исторический приключение открытый мир
Gran Turismo 3: A-Spec,вождение гонки гт уличный
Halo 2,экшен шутер от первого лица научная фантастика
The Legend of Zelda: A Link to the Past,экшен приключение фэнтези
The Legend of Zelda: Majora's Mask,экшен приключение фэнтези
The Last of Us,современный приключение общий экшен
The Legend of Zelda: Twilight Princess,экшен приключение фэнтези общий открытый мир
Madden NFL 2003,спорт традиционный футбол сим
Tony Hawk's Pro Skater 2,спорт альтернатива скейтбординг
The Last of Us Remastered,экшен приключение общий современный
Portal 2,экшен шутер от первого лица научная фантастика аркада
Red Dead Redemption,экшен приключение шутер исторический открытый мир от третьего лица
Portal 2,экшен шутер от первого лица научная фантастика аркада
Metal Gear Solid V: The Phantom Pain,современный экшен приключение открытый мир
Portal 2,экшен шутер от первого лица научная фантастика аркада
World of Goo,разнообразие головоломка экшен общий
BioShock Infinite,экшен шутер от первого лица научная фантастика аркада
Final Fantasy IX,ролевые игры консольный стиль рпг
Call of Duty: Modern Warfare 2,экшен шутер от первого лица современный аркада
Tony Hawk's Pro Skater 4,спорт альтернатива скейтбординг
Devil May Cry,экшен приключение фэнтези
Call of Duty 4: Modern Warfare,экшен шутер от первого лица современный аркада
Madden NFL 2002,спорт традиционный футбол сим
God of War,экшен приключение линейный
Batman: Arkham City,экшен приключение фэнтези открытый мир
The Elder Scrolls V: Skyrim,ролевые игры от первого лица вестерн
Mass Effect 2,ролевые игры экшен рпг
The Legend of Zelda: Ocarina of Time 3D,разнообразие экшен приключение фэнтези сборник открытый мир
Chrono Cross,ролевые игры консольный стиль рпг
BioShock,экшен шутер от первого лица научная фантастика аркада
Mass Effect 2,ролевые игры экшен рпг
Grand Theft Auto: Vice City,экшен приключение современный открытый мир
Madden NFL 2004,спорт традиционный футбол сим
Gears of War,экшен шутер от третьего лица научная фантастика аркада
The Elder Scrolls IV: Oblivion,ролевые игры от первого лица вестерн
Sid Meier's Civilization II,стратегия пошаговая исторический общий 4x
Quake,экшен шутер от первого лица научная фантастика аркада
Call of Duty 4: Modern Warfare,экшен шутер от первого лица современный аркада
BioShock Infinite,экшен шутер от первого лица научная фантастика аркада
Halo 3,экшен шутер от первого лица научная фантастика аркада
Ninja Gaiden Black,экшен приключение фэнтези
The Elder Scrolls IV: Oblivion,ролевые игры от первого лица вестерн
Street Fighter IV,экшен файтинг 3d 2d
Celeste,экшен платформер 2d
Super Mario Advance 4: Super Mario Bros. 3,экшен платформер 2d
Jet Grind Radio,экшен платформер 3d
Metal Gear Solid,экшен приключение современный
Grim Fandango,приключение общий 3d от третьего лица фэнтези
Tom Clancy's Splinter Cell Chaos Theory,экшен приключение современный
Burnout 3: Takedown,вождение гонки аркада
Diablo,ролевые игры экшен рпг
Metal Gear Solid 3: Subsistence,экшен приключение современный
Call of Duty: Modern Warfare 2,экшен шутер от первого лица современный аркада
Metal Gear Solid 4: Guns of the Patriots,экшен приключение современный общий
NCAA Football 2004,спорт традиционный футбол сим
God of War,экшен приключение фэнтези
Star Wars: Knights of the Old Republic,ролевые игры от третьего лица
Sid Meier's Civilization IV,стратегия пошаговая исторический 4x
Madden NFL 2004,спорт традиционный футбол сим
Virtua Fighter 4,экшен файтинг 3d
Super Mario 64,экшен платформер 3d
The Witcher 3: Wild Hunt,экшен рпг ролевые игры
Burnout 3: Takedown,вождение гонки аркада
Super Smash Bros. Brawl,экшен файтинг 3d 2d
Company of Heroes,стратегия в режиме реального времени исторический общий
Gran Turismo 2,вождение гонки гт уличный
Tom Clancy's Splinter Cell Pandora Tomorrow,экшен приключение современный
Grand Theft Auto: Chinatown Wars,экшен приключение современный открытый мир
Pac-Man Championship Edition DX,приключение общий экшен аркада
Street Fighter Alpha 3,экшен файтинг 2d
Tony Hawk's Pro Skater 3,спорт альтернатива скейтбординг
Divinity: Original Sin II,экшен рпг ролевые игры вестерн
Unreal Tournament 2004,экшен шутер от первого лица научная фантастика аркада
BioShock Infinite,экшен шутер от первого лица научная фантастика аркада
Braid,экшен платформер 2d
God of War II,экшен приключение фэнтези
Super Mario 3D World,платформер 3d экшен
Starcraft II: Wings of Liberty,стратегия в режиме реального времени научная фантастика команда
SSX,спорт альтернатива сноубординг
Street Fighter IV,экшен файтинг 3d 2d
Minecraft,экшен приключение 3d песочница от первого лица фэнтези
Persona 5,ролевые игры японский стиль
Persona 4 Golden,ролевые игры консольный стиль рпг японский стиль
SSX 3,спорт альтернатива сноубординг
Tom Clancy's Splinter Cell,экшен приключение современный
Grand Theft Auto III,экшен приключение современный открытый мир
Quake III Arena,экшен шутер от первого лица научная фантастика
Homeworld,стратегия в режиме реального времени научная фантастика общий
Okami,экшен приключение фэнтези
The Elder Scrolls IV: Oblivion,ролевые игры от первого лица вестерн
Fallout 3,ролевые игры от первого лица вестерн
Gears of War 2,экшен шутер от третьего лица научная фантастика аркада
SoulCalibur II,экшен файтинг 3d
World Soccer Winning Eleven 6 International,спорт традиционный футбол сим
NFL 2K3,спорт традиционный футбол сим
Mass Effect 3,ролевые игры экшен рпг
Metal Gear Solid V: The Phantom Pain,современный экшен приключение открытый мир
Skies of Arcadia,ролевые игры консольный стиль рпг
The Legend of Zelda: Skyward Sword,экшен приключение фэнтези общий открытый мир
Mario Kart Super Circuit,вождение гонки картинг
Rock Band 3,экшен разнообразие ритмигра музыка
Viewtiful Joe,экшен битимап
Test Drive Le Mans,вождение гонки гт уличный
NBA 2K1,спорт традиционный баскетбол сим
Castlevania: Symphony of the Night,экшен платформер 2d
Star Wars: Knights of the Old Republic,ролевые игры от третьего лица общий
Virtua Fighter 4: Evolution,экшен файтинг 3d
Uncharted 4: A Thief's End,общий современный экшен приключение линейный
Braid,экшен платформер 2d
Mass Effect 3,ролевые игры экшен рпг
Paper Mario,ролевые игры консольный стиль рпг
Wipeout XL,вождение гонки футуристический
Grand Theft Auto: San Andreas,экшен приключение современный
INSIDE,экшен платформер 2d
World of Warcraft,ролевые игры массовый мультиплеер онлайн фэнтези
Grand Theft Auto: San Andreas,экшен приключение современный открытый мир
Flipnote Studio,разнообразие общий приложение
World Soccer Winning Eleven 7 International,спорт традиционный футбол сим
NBA 2K2,спорт традиционный баскетбол сим
SoulCalibur II,экшен файтинг 3d
The Elder Scrolls V: Skyrim,ролевые игры от первого лица вестерн
Prince of Persia: The Sands of Time,экшен приключение фэнтези
Call of Duty 4: Modern Warfare,экшен шутер от первого лица современный аркада
Divinity: Original Sin II - Definitive Edition,ролевые игры вестерн
God of War III,экшен приключение фэнтези линейный
NFL 2K3,спорт традиционный футбол сим
SSX Tricky,спорт альтернатива сноубординг
NHL 2002,спорт традиционный лед хоккей сим
Guitar Hero II,экшен разнообразие ритмигра музыка
Prince of Persia: The Sands of Time,экшен приключение фэнтези
Uncharted 3: Drake's Deception,экшен приключение современный линейный
Rock Band,экшен разнообразие ритмигра музыка
Journey,экшен платформер 3d
Bloodborne,фэнтези ролевые игры экшен приключение общий рпг
Eternal Darkness: Sanity's Requiem,экшен приключение хоррор
Warcraft III: Reign of Chaos,стратегия в режиме реального времени фэнтези общий
SSX 3,спорт альтернатива сноубординг
The Sims,симулятор разнообразие виртуальный жизнь
Banjo-Kazooie,экшен платформер 3d
Sid Meier's Gettysburg!,стратегия в режиме реального времени военная игра общий
Rock Band 2,экшен разнообразие ритмигра музыка
Forza Motorsport,вождение гонки гт уличный
Celeste,экшен платформер 2d
Madden NFL 2004,спорт традиционный футбол сим
Super Street Fighter IV,экшен файтинг 3d 2d
World Soccer Winning Eleven 7 International,спорт традиционный командная игра футбол сим
Advance Wars,стратегия пошаговая современный
Vagrant Story,ролевые игры экшен рпг
What Remains of Edith Finch,приключение 3d от первого лица
Team Fortress 2,экшен шутер от первого лица современный тактический
System Shock 2,экшен приключение научная фантастика выживание
Tom Clancy's Splinter Cell: Chaos Theory,экшен приключение современный общий
Final Fantasy XII,ролевые игры консольный стиль рпг
Undertale,ролевые игры японский стиль
Madden NFL 2003,спорт традиционный футбол сим
The Witcher 3: Wild Hunt,экшен рпг ролевые игры
Super Mario World: Super Mario Advance 2,экшен платформер 2d
ESPN NFL 2K5,спорт традиционный футбол сим
Super Smash Bros. Melee,экшен файтинг 3d
Madden NFL 2003,спорт традиционный футбол сим
Rome: Total War,стратегия в режиме реального времени исторический общий
Forza Motorsport 3,вождение гонки симулятор гт уличный автомобиль
Okami HD,экшен приключение общий
Undertale,ролевые игры общий японский стиль
Batman: Arkham Asylum,экшен приключение фэнтези общий
Super Mario Sunshine,экшен платформер 3d
SSX 3,спорт альтернатива сноубординг
SoulCalibur II,экшен файтинг 3d
Tony Hawk's Pro Skater,спорт альтернатива скейтбординг
Thief: The Dark Project,экшен приключение фэнтези общий
Fire Emblem: Awakening,стратегия пошаговая фэнтези тактика
Age of Empires II: The Age of Kings,стратегия в режиме реального времени исторический команда
Final Fantasy X,ролевые игры консольный стиль рпг
Prince of Persia: The Sands of Time,экшен приключение фэнтези
The Walking Dead: A Telltale Games Series,разнообразие приключение сборник пойнт энд клик
Unreal Tournament (1999),экшен шутер от первого лица научная фантастика аркада
Sid Meier's Alpha Centauri,стратегия пошаговая научная фантастика 4x
Wave Race 64,вождение гонки снег вода
Galactic Civilizations II: Twilight of the Arnor,стратегия пошаговая научная фантастика 4x
Super Smash Bros. for Wii U,экшен файтинг 3d 2d
Guitar Hero II,разнообразие ритмигра музыка
Into the Breach,стратегия пошаговая тактика
Final Fantasy VII,ролевые игры консольный стиль рпг
Rock Band,экшен разнообразие ритмигра музыка
Chrono Trigger,ролевые игры консольный стиль рпг японский стиль
Bayonetta 2,экшен приключение линейный
Journey,экшен приключение общий платформер 3d
Xenoblade Chronicles,ролевые игры экшен рпг консольный стиль
Conker's Bad Fur Day,экшен платформер 3d
Medal of Honor,экшен шутер от первого лица исторический
PaRappa the Rapper,разнообразие ритмигра музыка
Rock Band 2,экшен разнообразие ритмигра музыка
Mario Kart 8 Deluxe,другое гонки аркада автомобиль
INSIDE,экшен платформер 2d
The ICO & Shadow of the Colossus Collection,разнообразие экшен приключение фэнтези сборник
Rayman Origins,экшен приключение платформер фэнтези 2d
Metroid Prime 2: Echoes,экшен шутер от первого лица научная фантастика
Out of the Park Baseball 17,спорт бейсбол сим командная игра
Metroid Fusion,экшен приключение научная фантастика
The Witcher 3: Wild Hunt - Blood and Wine,ролевые игры экшен рпг
Final Fantasy VI Advance,ролевые игры консольный стиль рпг
Rayman Legends,экшен платформер 2d
Tiger Woods PGA Tour 2003,спорт традиционный индивидуальный гольф сим
Madden NFL 2005,спорт традиционный футбол сим
Super Street Fighter IV,экшен файтинг 3d 2d
Pac-Man Championship Edition DX,приключение общий экшен аркада
Rock Band 2,экшен разнообразие ритмигра музыка
Dark Souls II,экшен рпг ролевые игры
Dishonored,экшен приключение современный общий
ESPN NFL Football,спорт традиционный футбол сим
Medal of Honor: Allied Assault,экшен шутер от первого лица исторический аркада
Myth: The Fallen Lords,стратегия в режиме реального времени фэнтези общий
LittleBigPlanet 2,экшен платформер 3d 2d
Guitar Hero,разнообразие ритмигра музыка
World of Warcraft: Wrath of the Lich King,ролевые игры массовый мультиплеер онлайн фэнтези
Rock Band 3,экшен разнообразие ритмигра музыка
Metroid Prime Trilogy,экшен разнообразие шутер сборник от первого лица научная фантастика
Overwatch,общий экшен шутер от первого лица тактический
F1 Challenge '99-'02,вождение гонки формула один
Tony Hawk's Pro Skater 4,спорт альтернатива скейтбординг
Madden NFL 2001,спорт традиционный футбол сим
Baldur's Gate,ролевые игры пк стиль рпг вестерн
Bayonetta 2,экшен приключение фэнтези линейный
The Witcher 3: Wild Hunt,экшен рпг ролевые игры
Rock Band 3,экшен разнообразие ритмигра музыка
Klonoa 2: Lunatea's Veil,экшен платформер 3d
IL-2 Sturmovik,симулятор полет вторая мировая война бой
Mario Tennis,спорт традиционный теннис
FreeSpace 2,симулятор научная фантастика космос маленький космический корабль бой
Colony Wars,симулятор научная фантастика маленький космический корабль
Metal Gear Solid V: The Phantom Pain,экшен приключение современный открытый мир
Ratchet & Clank: Up Your Arsenal,экшен платформер 3d
Resident Evil,экшен приключение хоррор
FIFA Soccer 10,спорт традиционный командная игра футбол сим
Assassin's Creed II,экшен приключение исторический открытый мир
Metal Gear Solid 3: Snake Eater,экшен приключение современный
Twisted Metal: Black,вождение машина бой
Spyro: Year of the Dragon,экшен платформер 3d
Tomb Raider,экшен приключение современный
Overwatch,экшен шутер от первого лица тактический
Resident Evil 4: Wii Edition,экшен приключение хоррор выживание
Shadow of the Colossus,экшен приключение фэнтези
Forza Horizon 3,гонки симулятор автомобиль
Peggle,разнообразие головоломка экшен
The Legend of Zelda: Ocarina of Time / Master Quest,экшен приключение фэнтези
Borderlands 2,экшен шутер от первого лица научная фантастика аркада
Tom Clancy's Splinter Cell,экшен приключение современный общий
Kentucky Route Zero - Act III,приключение общий
NCAA Football 2003,спорт традиционный футбол сим
Crysis,экшен шутер от первого лица научная фантастика аркада
Ninja Gaiden,экшен приключение фэнтези
God of War: Chains of Olympus,экшен приключение фэнтези линейный
DOA2: Hardcore,экшен файтинг 3d
World of Warcraft: The Burning Crusade,ролевые игры массовый мультиплеер онлайн фэнтези
MLB 10: The Show,спорт традиционный командная игра бейсбол сим
Shadow of the Colossus,экшен приключение общий
Yoshi's Island: Super Mario Advance 3,экшен платформер 2d
The Witcher 3: Wild Hunt - Blood and Wine,ролевые игры экшен рпг
Tiger Woods PGA Tour 2005,спорт традиционный индивидуальный гольф сим
ESPN NFL Football,спорт традиционный футбол сим
NCAA Football 2003,спорт традиционный футбол сим
The Longest Journey,приключение от третьего лица пойнт энд клик фэнтези
Tony Hawk's Pro Skater 2,спорт альтернатива индивидуальный скейтбординг скейт скейтборд
Star Wars Jedi Knight: Dark Forces II,экшен шутер от первого лица научная фантастика аркада
Batman: Arkham Asylum,экшен приключение фэнтези общий
Halo: Reach,экшен шутер от первого лица научная фантастика аркада
Galactic Civilizations II: Dark Avatar,стратегия пошаговая научная фантастика 4x
Mass Effect,ролевые игры экшен рпг консольный стиль японский стиль вестерн
The Operative: No One Lives Forever,экшен шутер от первого лица современный аркада
Forza Motorsport 4,вождение гонки симулятор гт уличный автомобиль
Resident Evil,экшен приключение хоррор
Battlefield 2,экшен шутер от первого лица тактический современный
God of War Collection,разнообразие экшен приключение фэнтези сборник
Celeste,экшен платформер 2d
Madden NFL 2005,спорт традиционный футбол сим
Tony Hawk's Pro Skater 3,спорт альтернатива скейтбординг
Street Fighter IV,экшен файтинг 3d 2d
Fallout 3,ролевые игры от первого лица вестерн
Batman: Arkham City,экшен приключение фэнтези открытый мир
Fez,экшен платформер 2d
Planescape: Torment,ролевые игры общий пк стиль рпг вестерн
Sonic Mania Plus,экшен платформер 2d
Gears of War 3,экшен шутер от третьего лица научная фантастика аркада
Killzone 2,экшен шутер от первого лица научная фантастика аркада
Neverwinter Nights,ролевые игры пк стиль рпг вестерн
Batman: Arkham Asylum,экшен приключение фэнтези общий
Castlevania: Aria of Sorrow,экшен платформер 2d
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,экшен шутер от первого лица современный аркада
INSIDE,экшен платформер 2d
Legacy of Kain: Soul Reaver,экшен приключение хоррор
Dragon Age: Origins,ролевые игры пк стиль рпг вестерн
Dead Cells,экшен платформер 2d
Golden Sun,ролевые игры консольный стиль рпг
Rayman Legends,экшен платформер 2d
Mark of the Ninja,экшен платформер 2d
World Soccer Winning Eleven 8 International,спорт традиционный футбол сим
SteamWorld Heist: Ultimate Edition,стратегия пошаговая общий
The Legend of Zelda: A Link Between Worlds,экшен рпг ролевые игры приключение общий открытый мир
Dark Souls II,экшен рпг ролевые игры
Castlevania: Circle of the Moon,экшен платформер 2d
Far Cry 3,экшен шутер от первого лица современный аркада
Dark Souls II,экшен рпг ролевые игры
Shovel Knight: Treasure Trove,экшен платформер 2d
flower,общий разнообразие
Mario Kart DS,вождение гонки аркада картинг автомобиль
Call of Duty,экшен шутер от первого лица от третьего лица исторический тактический аркада
Madden NFL 2004,спорт традиционный командная игра футбол сим
Mario Golf,спорт традиционный гольф аркада
Crash Bandicoot 3: Warped,экшен платформер 3d
Assassin's Creed II,экшен приключение исторический открытый мир
Project Gotham Racing 2,вождение гонки гт уличный
NBA 2K12,спорт традиционный командная игра баскетбол сим
The Sims 2,симулятор разнообразие виртуальный жизнь
World of Warcraft: Cataclysm,ролевые игры массовый мультиплеер онлайн фэнтези
Half-Life 2,экшен шутер от первого лица научная фантастика
NCAA Football 2003,спорт традиционный футбол сим
Rayman 2: The Great Escape,экшен платформер 3d
Bayonetta,экшен приключение битимап фэнтези линейный
Diablo III: Ultimate Evil Edition,экшен рпг ролевые игры
Overwatch,экшен шутер от первого лица тактический
Far Cry 3,экшен шутер от первого лица современный аркада
ICO,экшен приключение фэнтези
Tom Clancy's Ghost Recon Advanced Warfighter,экшен шутер от первого лица тактический современный
FIFA Soccer 12,спорт традиционный командная игра футбол сим
World of Goo,разнообразие головоломка экшен общий
Mario & Luigi: Superstar Saga,ролевые игры консольный стиль рпг
Shovel Knight,экшен платформер 2d
Tony Hawk's Underground,спорт альтернатива скейтбординг
Marvel vs. Capcom 2,экшен файтинг 2d
Ape Escape,экшен платформер 3d
Syphon Filter,экшен шутер от третьего лица современный
Mario & Luigi: Bowser's Inside Story,ролевые игры экшен рпг консольный стиль японский стиль
Trials Evolution,вождение гонки симулятор мотоцикл автомобиль уличный
Grand Theft Auto IV: The Lost and Damned,экшен приключение современный открытый мир
FIFA Soccer 12,спорт традиционный командная игра футбол сим
Spelunky,экшен платформер 2d
FIFA Soccer 10,спорт традиционный командная игра футбол сим
Ratchet & Clank: Going Commando,экшен платформер 3d
NBA Street Vol. 2,спорт традиционный баскетбол аркада
Tennis 2K2,спорт традиционный теннис
Black & White,стратегия в режиме реального времени фэнтези общий
Fallout 3,ролевые игры от первого лица вестерн
The Legend of Zelda: The Wind Waker HD,экшен приключение фэнтези открытый мир
ESPN NFL 2K5,спорт традиционный футбол сим
Portal,экшен шутер от первого лица научная фантастика аркада
The Legend of Zelda: Phantom Hourglass,экшен приключение фэнтези открытый мир
MVP Baseball 2004,спорт традиционный бейсбол сим
Tony Hawk's Pro Skater 3,спорт альтернатива скейтбординг
Dance Dance Revolution,разнообразие ритмигра танцы
NHL 2001,спорт традиционный командная игра лед хоккей сим
Advance Wars: Dual Strike,стратегия пошаговая современный тактика
Rayman Legends,платформер 2d экшен
MLB 11: The Show,спорт традиционный командная игра бейсбол сим
NieR: Automata - Become as Gods Edition,ролевые игры экшен рпг
Jak and Daxter: The Precursor Legacy,экшен платформер 3d
Star Wars Rogue Leader: Rogue Squadron II,симулятор научная фантастика маленький космический корабль
Monster Hunter: World,ролевые игры экшен рпг
Stephen's Sausage Roll,головоломка экшен общий
Velocity 2X,шутер скроллинг экшен общий шутимап вертикальный
Burnout Revenge,вождение гонки аркада
Tony Hawk's Pro Skater 3,спорт альтернатива индивидуальный скейтбординг скейт скейтборд
NBA 2K2,спорт традиционный баскетбол сим
NCAA Football 2002,спорт традиционный футбол сим
Unreal Tournament,экшен шутер от первого лица научная фантастика
Deus Ex,экшен приключение научная фантастика общий
Donkey Kong 64,экшен платформер 3d
Panzer Dragoon Orta,экшен шутер рельсы
Dead Cells,экшен платформер 2d
Portal: Still Alive,экшен шутер от первого лица научная фантастика аркада
Half-Life 2: Episode Two,экшен шутер от первого лица научная фантастика аркада
Fez,экшен платформер 2d
Braid,экшен платформер 2d
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,экшен шутер от первого лица научная фантастика аркада
Shin Megami Tensei: Persona 4,ролевые игры консольный стиль рпг
MLB 09: The Show,спорт традиционный командная игра бейсбол сим
Blast Corps,экшен общий
Shovel Knight,платформер 2d экшен
MVP Baseball 2004,спорт традиционный бейсбол сим
Tony Hawk's Pro Skater 4,спорт альтернатива скейтбординг
Sid Meier's Civilization III,стратегия пошаговая исторический 4x
NFL 2K2,спорт традиционный футбол сим
WWF SmackDown! 2: Know Your Role,экшен файтинг реслинг
LIMBO,экшен платформер 2d
Mark of the Ninja,приключение текст экшен платформер 2d
Silent Hunter III,симулятор подводная лодка морской бой
Bayonetta,экшен приключение линейный
Assassin's Creed: Brotherhood,экшен приключение исторический открытый мир
Okami,экшен приключение фэнтези общий
Super Meat Boy,экшен платформер 2d
Grand Theft Auto: Chinatown Wars,экшен приключение современный открытый мир
Dead Space 2,экшен шутер от третьего лица научная фантастика аркада
Pikmin 2,стратегия в режиме реального времени фэнтези
Okami HD,фэнтези экшен приключение общий
NBA 2K17,спорт командная игра баскетбол сим
Madden NFL 2002,спорт традиционный футбол сим
Grandia II,ролевые игры консольный стиль рпг
Geometry Wars: Retro Evolved 2,экшен шутер статичный шутимап топдаун
Sid Meier's Civilization V,стратегия пошаговая исторический 4x
Super Mario 3D Land,экшен платформер 3d
Mario Kart 8 DLC Pack 2,вождение картинг гонки аркада автомобиль
Falcon 4.0: Allied Force,симулятор полет современный истребитель бой
Deus Ex: Human Revolution,экшен приключение шутер научная фантастика общий от первого лица
XCOM: Enemy Unknown,стратегия пошаговая общий научная фантастика
Metroid Prime 3: Corruption,экшен шутер от первого лица научная фантастика аркада
Monster Hunter: World,ролевые игры экшен рпг
Flight Simulator 2002,симулятор полет гражданский самолет
Banjo-Tooie,экшен платформер 3d
Brothers: A Tale of Two Sons,экшен приключение фэнтези линейный
Dota 2,общий фэнтези моба стратегия в режиме реального времени
World Soccer Winning Eleven 8 International,спорт традиционный футбол сим
Hollow Knight,экшен приключение общий
TimeSplitters 2,экшен шутер от первого лица научная фантастика
Guild Wars 2,общий ролевые игры массовый мультиплеер онлайн фэнтези
Forza Motorsport 2,вождение гонки симулятор гт уличный автомобиль
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,приключение общий
Pushmo,разнообразие головоломка экшен
The Witcher 3: Wild Hunt - Hearts of Stone,ролевые игры экшен рпг
Metal Gear Solid HD Collection,разнообразие сборник
Viewtiful Joe,экшен битимап
Madden NFL 2005,спорт традиционный футбол сим
Tiger Woods PGA Tour 2003,спорт традиционный гольф сим
Freedom Force,ролевые игры экшен рпг
NBA 2K2,спорт традиционный баскетбол сим
Colin McRae Rally 2.0,вождение гонки ралли бездорожье
FIFA Soccer 13,спорт традиционный командная игра футбол сим
LIMBO,экшен платформер 2d
GTR 2,вождение гонки симулятор гт уличный автомобиль
NBA 2K13,спорт традиционный командная игра баскетбол сим
Grand Theft Auto IV,экшен приключение современный открытый мир
Total War: Shogun 2,стратегия пошаговая исторический общий
Empire: Total War,стратегия в режиме реального времени исторический общий
Rayman Legends,экшен платформер 2d
Bayonetta + Bayonetta 2,разнообразие сборник
Kentucky Route Zero - Act IV,приключение общий
Guacamelee! Super Turbo Championship Edition,экшен платформер 2d
NBA 2K12,спорт традиционный командная игра баскетбол сим
ESPN NHL Hockey,спорт традиционный лед хоккей сим
Rayman 2 Revolution,экшен платформер 3d
Madden NFL 2001,спорт традиционный футбол сим
Final Fantasy VIII,ролевые игры консольный стиль рпг
Beetle Adventure Racing,вождение гонки аркада
Command & Conquer: Red Alert,стратегия в режиме реального времени научная фантастика команда
The Witcher 3: Wild Hunt - Hearts of Stone,ролевые игры экшен рпг
Star Wars Jedi Knight II: Jedi Outcast,экшен шутер от первого лица научная фантастика аркада
Wipeout HD Fury,вождение гонки аркада футуристический
Halo 2 Multiplayer Map Pack,экшен шутер от первого лица научная фантастика
Borderlands 2,экшен шутер от первого лица научная фантастика аркада
Shin Megami Tensei: Persona 3 Portable,ролевые игры консольный стиль рпг японский стиль
XCOM: Enemy Unknown,стратегия пошаговая общий научная фантастика
Call of Duty 2,экшен шутер от первого лица исторический аркада
Burnout Revenge,вождение гонки аркада
Dragon Quest VIII: Journey of the Cursed King,ролевые игры консольный стиль рпг
Metroid: Zero Mission,экшен платформер 2d
The Legend of Zelda: Majora's Mask 3D,фэнтези экшен приключение открытый мир
Skylanders Swap Force,экшен платформер 3d
The Walking Dead: A Telltale Games Series,сборник разнообразие приключение пойнт энд клик
Tiger Woods PGA Tour 2004,спорт традиционный гольф сим
Age of Mythology,стратегия в режиме реального времени фэнтези общий
Pikmin,стратегия в режиме реального времени фэнтези
Madden NFL 2002,спорт традиционный футбол сим
Sacrifice,стратегия в режиме реального времени фэнтези общий
Samba de Amigo,разнообразие ритмигра музыка
Wipeout 3,вождение гонки футуристический
Plants vs. Zombies,стратегия в режиме реального времени общий фэнтези защита
Dark Souls III,ролевые игры экшен рпг
Dead Cells,экшен платформер 2d
Rez HD,экшен шутер рельсы
NBA Street V3,спорт традиционный баскетбол аркада
Demon's Souls,ролевые игры экшен рпг
Pillars of Eternity,пк стиль рпг от третьего лица ролевые игры вестерн
The Elder Scrolls III: Morrowind,ролевые игры от первого лица вестерн
Castlevania: Symphony of the Night,экшен ролевые игры платформер рпг 2d
Fable II,ролевые игры экшен рпг
Rez Infinite,экшен шутер рельсы
Rocksmith 2014 Edition,экшен разнообразие ритмигра музыка
NHL 2K3,спорт традиционный лед хоккей сим
Final Fantasy Chronicles,ролевые игры консольный стиль рпг
Fallout,ролевые игры от первого лица пк стиль рпг вестерн
The Beatles: Rock Band,экшен разнообразие ритмигра музыка
Into the Breach,стратегия пошаговая общий тактика
